species,collection_no,lithology,specimen ID,part,measurement,mean
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,elytron,width,1.5
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,elytron,length,2.75
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,body,width,1.375
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,body,length,4.625
Cossonus spielbergii,115304,"""limestone""",C. spielbergii Oeningen type,elytron,width,1.375
Cossonus spielbergii,115304,"""limestone""",C. spielbergii Oeningen type,elytron,length,2.75
Curculionites redtenbacheri,117250,"""limestone""",C. redtenbacheri Radoboj type,body,width,2
Curculionites redtenbacheri,117250,"""limestone""",C. redtenbacheri Radoboj type,body,length,4.375
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,elytron,width,0.875
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,elytron,length,2.75
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,body,length,4.5
Dermestes pauper,115305,"""limestone""",D. pauper Oeningen type,body,width,1.125
Dermestes pauper,115305,"""limestone""",D. pauper Oeningen type,body,length,3
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,elytron,width,1
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,elytron,length,4
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,body,width,1.625
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,body,length,5.5
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,body,length,9.25
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,elytron,width,2
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,elytron,length,6.75
Donacia palaemonis,113689,"""limestone""",D. palaemonis Oeningen type,elytron,length,3.625
Donacia palaemonis,113689,"""limestone""",D. palaemonis Oeningen type,body,length,5.25
Dytiscus lavateri,115304,"""limestone""",D. lavateri Oeningen type,elytron,width,4.75
Dytiscus lavateri,115304,"""limestone""",D. lavateri Oeningen type,elytron,length,13
Dytiscus oeningensis,115304,"""limestone""",D. oeningensis Oeningen type,elytron,length,3.5
