species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Galloromma bezonnaisensis,123019,Bezonnais (Ecommoy) amber,FU-Berlin My Ce Bez 1,forewing,0.2,amber,96.55
Hygronoma deleta,122488,Aix-en-Provence (Inst. Geol. Lyon),Musee Lyon no. 31,elytron,0.3,not_amber,25.565
Palaeomymar duerrenfeldi,160007,Sicilian amber (Freie Universit?t Berlin coll),FUB Ser MP Siz,body,0.3,amber,8.4705
Protopeplus cretaceus,161726,Burmese amber (NIGP coll),NIGP 152731,elytron,0.3,amber,96.55
Galloromma bezonnaisensis,123019,Bezonnais (Ecommoy) amber,FU-Berlin My Ce Bez 1,body,0.32,amber,96.55
Stenurothrips bagnalli,123419,"Baltic Amber, Deutsches Entomologische Institut collection",Hoffeins 374/2,forewing,0.34,amber,35.95
Normarkicoccus cambayae,124463,Tadkeshwar lignite mine (Cambay amber),BSIPL Tad-135,body,0.365,amber,51.9
Archaeromma hispanicum,108769,Pe±acerrada outcrop I,MCNA 9482,forewing,0.38,amber,110.515
Galloromma alavaensis,108769,Pe±acerrada outcrop I,MCNA 12630,forewing,0.38,amber,110.515
Minyohelea schleei,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C32/74,wing,0.38,amber,127.2
Archaeromma mandibulatum,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/456,forewing,0.4,amber,84.95
Archaeromma minutissimum,122356,Cedar Lake (ROM collection),ROM 54,body,0.4,amber,77.05
Duartia pulchella,167551,Fonseca village (UERJ collection),DBAV-UERJ 88-91Pb,elytron,0.4,not_amber,35.95
Alavaromma orchamum,108769,Pe±acerrada outcrop I,MCNA 9127,forewing,0.41,amber,110.515
Ptenidium kishenehnicum,117614,"Spring site, Middle Fork Flathead River (Kishenehn)",USNM 545816,elytron,0.41,not_amber,44.55
Normarkicoccus cambayae,124463,Tadkeshwar lignite mine (Cambay amber),BSIPL Tad-135,forewing,0.42,amber,51.9
Praedendrothrips avus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 4,body,0.42,amber,35.95
Archaeromma japonicum,138803,Kuji amber,T.Nomiya and Y Shirota,body,0.43,amber,86.7
Archaeromma japonicum,138803,Kuji amber,T.Nomiya and Y Shirota,forewing,0.43,amber,86.7
Galloromma alavaensis,108769,Pe±acerrada outcrop I,MCNA 12630,body,0.43,amber,110.515
Minyohelea casca,119479,Golling,SMNS OB-38-X,wing,0.43,amber,131.15
Vincinescia alisae,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-4021,body,0.44,amber,35.95
Protoxythrips fritschi,120813,Baltic Amber (Museum Ziemi collection),MZ 13806 TG,forewing,0.445,amber,35.95
Adelohelea magyarica,119480,Ajka,SMNS UB-1-WK-2,wing,0.45,amber,86.7
Archaeromma hispanicum,108769,Pe±acerrada outcrop I,MCNA 9482,body,0.45,amber,110.515
Fidiobia microscopica,123762,Baltic Amber (University of Copenhagen ZMUC Collection),NA,body,0.45,amber,35.95
Nannohelea eocenica,123762,Baltic Amber (University of Copenhagen ZMUC Collection),ZMC 140,wing,0.45,amber,35.95
Taeniothrips mucripositus,129227,Bitterfeld amber (MfN collection),MfN MB.I.800,forewing,0.45,amber,25.565
Taeniothrips pietrzeniuki,129227,Bitterfeld amber (MfN collection),MfN MB.I.801,forewing,0.45,amber,25.565
Protanaphothrips minoricornis,120813,Baltic Amber (Museum Ziemi collection),MZ 15707 TG,forewing,0.456,amber,35.95
Cosmocomoidea greenwalti,117614,"Spring site, Middle Fork Flathead River (Kishenehn)",NMNH 543763,hindwing,0.458,not_amber,44.55
Jezzinothrips cretacicus,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C17/1b,forewing,0.465,amber,127.2
Protoculicoides burmiticus,104053,Burmese amber (Poinar collection),Poinar In. C-1,wing,0.466,amber,96.55
Anaphothrips intermedius,120813,Baltic Amber (Museum Ziemi collection),MZ 18779 TG,forewing,0.468,amber,35.95
Anaphothrips pusillus,120813,Baltic Amber (Museum Ziemi collection),MZ 5593 TG,forewing,0.468,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 20194 TG,forewing,0.468,amber,35.95
Minyohelea minuta,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C32/67,wing,0.47,amber,127.2
Palaeogramma eos,123493,Baltic amber (AMNH collection),UCRC_ENT 00237969,body,0.47,amber,35.95
Protoxythrips ursulae,120813,Baltic Amber (Museum Ziemi collection),MZ 20879 TG,forewing,0.47,amber,35.95
Protoxythrips ursulae,129227,Bitterfeld amber (MfN collection),MfN MB.I.791,forewing,0.47,amber,25.565
Gonatocerus janzeni,123493,Baltic amber (AMNH collection),NA,forewing,0.475,amber,35.95
Metahelea roggeroi,152462,Piolenc amber,IGR.PLC-2,wing,0.475,amber,84.65
Archaeromma mandibulatum,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/456,body,0.48,amber,84.95
Brachypogon (Isohelea) prominuloides,122473,Dominican amber (USNM Brodzinsky Lopez-Pena coll),USNM 9568,wing,0.48,amber,17.13
Galloromma turolensis,91626,San Just,CPT-4139,body,0.48,amber,108.665
Henria capitata,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-1294,body,0.48,amber,35.95
Eoanaphes stethynioides,117614,"Spring site, Middle Fork Flathead River (Kishenehn)",NMNH 543764,hindwing,0.485,not_amber,44.55
Palaeopatasson grollei,153459,Dominican amber (MfN coll),Mfn Palao 1981/908b,forewing,0.486,amber,17.13
Leptoconops (Leptoconops) gravesi,164386,"La Robini?re (La Garnache), Vend?e amber",IGR.GAR-72.1,wing,0.49,amber,91.55
Anaphothrips perspicuus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 10,forewing,0.5,amber,35.95
Baeodasymyia dominicana,122982,Dominican amber (AMNH coll),AMNH DR-8-112,wing,0.5,amber,17.13
Dasyhelea minuticola,122982,Dominican amber (AMNH coll),AMNH DR-8-114,wing,0.5,amber,17.13
Empheropsocus arilloi,108769,Pe±acerrada outcrop I,MCNA 8677,hindwing,0.5,amber,110.515
Galloromma agapa,35051,"Nizhnyaya Agapa River, Taimyr Amber (PIN collection 3426)",PIN 3426/25,body,0.5,amber,96.55
Leptoconops (Palaeoconops) amplificatus,123017,"Bchare Mountain, Lebanese amber (AMNH coll)",AMNH,wing,0.5,amber,127.2
Lestodiplosis kiefferis,152187,Madasgacar Copal (Evers collection),NA,body,0.5,amber,0.00585
Megaselia (Aphiochaeta) obstricta,152186,Accra Copal (Evers collection),Evers 2,wing,0.5,amber,0.00585
Microcaetiscus formidolosus,152187,Madasgacar Copal (Evers collection),NA,wing,0.5,amber,0.00585
